,Currency,Rate
0,AED,3.98764
1,AFN,95.799314
2,ALL,120.941396
3,AMD,516.437771
4,ANG,1.957491
5,AOA,476.306827
6,ARS,121.724647
7,AUD,1.457883
8,AWG,1.954186
9,AZN,1.838642
10,BAM,1.951335
11,BBD,2.192948
12,BDT,93.709827
13,BGN,1.953261
14,BHD,0.409334
15,BIF,2228.553868
16,BMD,1.085659
17,BND,1.479791
18,BOB,7.466999
19,BRL,5.149717
20,BSD,1.086098
21,BTC,2.5179038e-05
22,BTN,82.359973
23,BWP,12.563558
24,BYN,3.540743
25,BYR,21278.917288
26,BZD,2.189257
27,CAD,1.368544
28,CDF,2183.260249
29,CHF,1.01609
30,CLF,0.031831
31,CLP,877.809736
32,CNY,6.909682
33,COP,4097.288094
34,CRC,712.778024
35,CUC,1.085659
36,CUP,28.769965
37,CVE,110.007025
38,CZK,24.477314
39,DJF,193.354583
40,DKK,7.437578
41,DOP,59.758339
42,DZD,155.718281
43,EGP,19.9124
44,ERN,16.284891
45,ETB,55.85523
46,EUR,1.0
47,FJD,2.284243
48,FKP,0.832656
49,GBP,0.833661
50,GEL,3.343884
51,GGP,0.832656
52,GHS,8.227347
53,GIP,0.832656
54,GMD,58.722402
55,GNF,9687.08456
56,GTQ,8.341385
57,GYD,227.226555
58,HKD,8.510362
59,HNL,26.658589
60,HRK,7.552602
61,HTG,118.386282
62,HUF,376.138458
63,IDR,15600.811915
64,ILS,3.500035
65,IMP,0.832656
66,INR,82.4367
67,IQD,1585.178339
68,IRR,45923.377791
69,ISK,139.612285
70,JEP,0.832656
71,JMD,167.446266
72,JOD,0.76975
73,JPY,135.077943
74,KES,125.230535
75,KGS,100.602049
76,KHR,4395.474461
77,KMF,490.068952
78,KPW,977.093521
79,KRW,1334.682084
80,KWD,0.331104
81,KYD,0.905115
82,KZT,481.849997
83,LAK,12896.49128
84,LBP,1642.416483
85,LKR,342.125769
86,LRD,165.564143
87,LSL,15.915297
88,LTL,3.205669
89,LVL,0.656705
90,LYD,5.084088
91,MAD,10.577334
92,MDL,19.957326
93,MGA,4393.329403
94,MKD,61.530782
95,MMK,2010.938246
96,MNT,3125.36572
97,MOP,8.7689
98,MRO,387.580092
99,MUR,46.849452
100,MVR,16.773495
101,MWK,886.963765
102,MXN,21.875726
103,MYR,4.583111
104,MZN,69.297238
105,NAD,15.915964
106,NGN,451.243745
107,NIO,38.872452
108,NOK,9.521675
109,NPR,131.776436
110,NZD,1.587353
111,OMR,0.417957
112,PAB,1.086098
113,PEN,4.022933
114,PGK,3.826984
115,PHP,56.034661
116,PKR,200.496431
117,PLN,4.638217
118,PYG,7456.522944
119,QAR,3.952887
120,RON,4.942574
121,RSD,117.756001
122,RUB,83.843815
123,RWF,1105.124205
124,SAR,4.071646
125,SBD,8.702713
126,SCR,15.650212
127,SDG,485.831688
128,SEK,10.293703
129,SGD,1.480421
130,SHP,1.495384
131,SLL,12903.058172
132,SOS,634.024837
133,SRD,22.438406
134,STD,22470.950301
135,SVC,9.503108
136,SYP,2727.175888
137,SZL,15.985313
138,THB,36.484115
139,TJS,13.467218
140,TMT,3.810663
141,TND,3.241234
142,TOP,2.448867
143,TRY,16.018907
144,TTD,7.367029
145,TWD,31.415934
146,TZS,2520.900513
147,UAH,31.931741
148,UGX,3850.230501
149,USD,1.085659
150,UYU,45.643854
151,UZS,12321.10605
152,VEF,232146715038.15424
153,VND,24820.337093
154,VUV,123.891723
155,WST,2.846648
156,XAF,654.449392
157,XAG,0.044345
158,XAU,0.000561
159,XCD,2.934047
160,XDR,0.791577
161,XOF,654.449392
162,XPF,119.151049
163,YER,271.686147
164,ZAR,16.010779
165,ZMK,9772.237804
166,ZMW,19.034152
167,ZWL,349.58177
