,Currency,Rate
0,AED,3.994736
1,AFN,95.707667
2,ALL,121.269795
3,AMD,517.352591
4,ANG,1.960959
5,AOA,477.106204
6,ARS,121.989028
7,AUD,1.460809
8,AWG,1.956561
9,AZN,1.853208
10,BAM,1.954792
11,BBD,2.196834
12,BDT,93.875858
13,BGN,1.955968
14,BHD,0.410156
15,BIF,2187.672338
16,BMD,1.087583
17,BND,1.482413
18,BOB,7.480229
19,BRL,5.111208
20,BSD,1.088022
21,BTC,2.5484765e-05
22,BTN,82.505895
23,BWP,12.585818
24,BYN,3.547017
25,BYR,21316.618359
26,BZD,2.193136
27,CAD,1.366744
28,CDF,2187.12894
29,CHF,1.017298
30,CLF,0.032123
31,CLP,886.380187
32,CNY,6.922576
33,COP,4094.030569
34,CRC,714.040894
35,CUC,1.087583
36,CUP,28.820938
37,CVE,110.553197
38,CZK,24.434178
39,DJF,193.285602
40,DKK,7.43722
41,DOP,59.871848
42,DZD,155.96016
43,EGP,19.947846
44,ERN,16.313744
45,ETB,55.688443
46,EUR,1.0
47,FJD,2.302961
48,FKP,0.834131
49,GBP,0.835426
50,GEL,3.322608
51,GGP,0.834131
52,GHS,8.102915
53,GIP,0.834131
54,GMD,58.842408
55,GNF,9695.798992
56,GTQ,8.356163
57,GYD,227.629145
58,HKD,8.525848
59,HNL,26.580941
60,HRK,7.548045
61,HTG,118.596034
62,HUF,377.896338
63,IDR,15629.26845
64,ILS,3.504442
65,IMP,0.834131
66,INR,82.566554
67,IQD,1587.870551
68,IRR,46059.122194
69,ISK,139.798283
70,JEP,0.834131
71,JMD,167.74294
72,JOD,0.771139
73,JPY,135.190653
74,KES,125.453068
75,KGS,100.780299
76,KHR,4404.709787
77,KMF,492.620942
78,KPW,978.824693
79,KRW,1336.807596
80,KWD,0.331659
81,KYD,0.906719
82,KZT,482.703718
83,LAK,12912.328167
84,LBP,1648.82197
85,LKR,342.731933
86,LRD,165.969205
87,LSL,15.955251
88,LTL,3.211349
89,LVL,0.657868
90,LYD,5.084491
91,MAD,10.626096
92,MDL,19.992685
93,MGA,4350.330655
94,MKD,61.6398
95,MMK,2014.50114
96,MNT,3130.903109
97,MOP,8.784436
98,MRO,388.26679
99,MUR,46.934932
100,MVR,16.803562
101,MWK,880.402156
102,MXN,21.791984
103,MYR,4.591234
104,MZN,69.420806
105,NAD,15.955247
106,NGN,452.054105
107,NIO,38.886557
108,NOK,9.447776
109,NPR,132.009912
110,NZD,1.585831
111,OMR,0.418735
112,PAB,1.088022
113,PEN,4.03983
114,PGK,3.828699
115,PHP,56.092113
116,PKR,202.589485
117,PLN,4.633889
118,PYG,7469.734091
119,QAR,3.95993
120,RON,4.941327
121,RSD,117.71729
122,RUB,87.278907
123,RWF,1112.596968
124,SAR,4.079053
125,SBD,8.711182
126,SCR,15.679307
127,SDG,486.6972
128,SEK,10.276829
129,SGD,1.482923
130,SHP,1.49804
131,SLL,13214.128586
132,SOS,630.258087
133,SRD,22.53584
134,STD,22510.763365
135,SVC,9.519946
136,SYP,2732.007781
137,SZL,15.955238
138,THB,36.524327
139,TJS,13.491079
140,TMT,3.817415
141,TND,3.238862
142,TOP,2.453206
143,TRY,16.040868
144,TTD,7.380082
145,TWD,31.438427
146,TZS,2525.367091
147,UAH,31.988316
148,UGX,3857.052174
149,USD,1.087583
150,UYU,45.724723
151,UZS,12349.500439
152,VEF,232558022610.4716
153,VND,24864.3127
154,VUV,124.111229
155,WST,2.851692
156,XAF,655.608917
157,XAG,0.043887
158,XAU,0.000559
159,XCD,2.939247
160,XDR,0.792979
161,XOF,657.44758
162,XPF,119.797616
163,YER,272.276692
164,ZAR,15.77805
165,ZMK,9789.552131
166,ZMW,19.067876
167,ZWL,350.201144
