,Currency,Rate
0,AED,4.003776
1,AFN,95.922196
2,ALL,121.265382
3,AMD,522.536689
4,ANG,1.964177
5,AOA,482.550446
6,ARS,121.910231
7,AUD,1.451529
8,AWG,1.962591
9,AZN,1.851568
10,BAM,1.95342
11,BBD,2.200424
12,BDT,93.973221
13,BGN,1.956481
14,BHD,0.410962
15,BIF,2193.676205
16,BMD,1.090025
17,BND,1.481259
18,BOB,7.503744
19,BRL,5.143176
20,BSD,1.089776
21,BTC,2.4797342e-05
22,BTN,82.57928
23,BWP,12.555997
24,BYN,3.553017
25,BYR,21364.498689
26,BZD,2.196729
27,CAD,1.366695
28,CDF,2192.040918
29,CHF,1.016942
30,CLF,0.031599
31,CLP,871.904504
32,CNY,6.932124
33,COP,4085.055653
34,CRC,714.206602
35,CUC,1.090025
36,CUP,28.885674
37,CVE,110.640594
38,CZK,24.479774
39,DJF,193.719159
40,DKK,7.43691
41,DOP,60.005487
42,DZD,155.633041
43,EGP,19.952008
44,ERN,16.350387
45,ETB,55.727544
46,EUR,1.0
47,FJD,2.279516
48,FKP,0.836005
49,GBP,0.833913
50,GEL,3.356782
51,GGP,0.836005
52,GHS,8.171925
53,GIP,0.836005
54,GMD,58.697957
55,GNF,9739.377231
56,GTQ,8.370175
57,GYD,228.018737
58,HKD,8.544002
59,HNL,26.651561
60,HRK,7.547119
61,HTG,117.16148
62,HUF,379.502897
63,IDR,15678.598969
64,ILS,3.529808
65,IMP,0.836005
66,INR,82.747213
67,IQD,1591.437147
68,IRR,46108.076104
69,ISK,140.798321
70,JEP,0.836005
71,JMD,167.396979
72,JOD,0.772841
73,JPY,134.928786
74,KES,125.661496
75,KGS,99.14392
76,KHR,4414.602873
77,KMF,492.030479
78,KPW,981.023281
79,KRW,1327.198649
80,KWD,0.332196
81,KYD,0.908171
82,KZT,507.074519
83,LAK,12916.801493
84,LBP,1650.298444
85,LKR,326.950704
86,LRD,166.22507
87,LSL,15.979698
88,LTL,3.218562
89,LVL,0.659345
90,LYD,5.112459
91,MAD,10.585782
92,MDL,19.999131
93,MGA,4354.651681
94,MKD,61.539091
95,MMK,1937.935959
96,MNT,3137.935588
97,MOP,8.798067
98,MRO,389.138896
99,MUR,48.887318
100,MVR,16.841011
101,MWK,886.735982
102,MXN,21.983304
103,MYR,4.594466
104,MZN,69.576996
105,NAD,15.979765
106,NGN,453.14554
107,NIO,39.00091
108,NOK,9.594076
109,NPR,132.126808
110,NZD,1.575921
111,OMR,0.419648
112,PAB,1.089776
113,PEN,4.058707
114,PGK,3.836516
115,PHP,55.968432
116,PKR,202.744496
117,PLN,4.664763
118,PYG,7525.816834
119,QAR,3.968821
120,RON,4.939667
121,RSD,117.728232
122,RUB,91.014175
123,RWF,1116.186054
124,SAR,4.088702
125,SBD,8.737714
126,SCR,15.71216
127,SDG,487.783485
128,SEK,10.332244
129,SGD,1.482544
130,SHP,1.501397
131,SLL,12954.952419
132,SOS,636.574727
133,SRD,22.540626
134,STD,22561.325924
135,SVC,9.535538
136,SYP,2738.144282
137,SZL,15.979756
138,THB,36.596487
139,TJS,13.628789
140,TMT,3.825989
141,TND,3.254266
142,TOP,2.450919
143,TRY,16.051153
144,TTD,7.396933
145,TWD,31.3475
146,TZS,2531.039149
147,UAH,32.042176
148,UGX,3879.914089
149,USD,1.090025
150,UYU,45.120964
151,UZS,12404.489824
152,VEF,233080382899.92148
153,VND,24926.156825
154,VUV,124.390002
155,WST,2.858097
156,XAF,655.142865
157,XAG,0.044585
158,XAU,0.000566
159,XCD,2.945848
160,XDR,0.792016
161,XOF,655.656472
162,XPF,119.630219
163,YER,272.779072
164,ZAR,16.00541
165,ZMK,9811.539012
166,ZMW,19.143586
167,ZWL,350.987748
